question_set_title,question_number,question_type,question_text,options,correct_answer,matching_pairs,labels,explanation,hint,marks,drawing_template
Reading & Writing Skills 1,1,mcq,"What does ""abundant"" mean?","[""scarce"", ""plentiful"", ""tiny"", ""dark""]",plentiful,,,,,1,
Reading & Writing Skills 1,2,mcq,"Maya practiced the piano every day for months. When the recital came, her fingers danced across the keys effortlessly. What can you infer about Maya?","[""She never practiced"", ""Her hard work paid off"", ""She hates piano"", ""She played poorly""]",Her hard work paid off,,,,,1,
Reading & Writing Skills 1,3,mcq,"""Enormous"" is a synonym for:","[""tiny"", ""huge"", ""average"", ""minimal""]",huge,,,,,1,
Reading & Writing Skills 1,4,mcq,"Which word means ""to make something clear""?","[""confuse"", ""clarify"", ""complicate"", ""conceal""]",clarify,,,,,1,
Reading & Writing Skills 1,5,mcq,"Select the correct form: If I ____ you, I would apologize.","[""am"", ""was"", ""were"", ""be""]",were,,,,,1,
Reading & Writing Skills 1,6,mcq,Choose the correct word: She ____ to school every day.,"[""go"", ""goes"", ""going"", ""gone""]",goes,,,,,1,
Reading & Writing Skills 1,7,mcq,Which is a compound sentence?,"[""I went home."", ""The cat slept."", ""I went home and my sister stayed."", ""Running fast.""]",I went home and my sister stayed.,,,,,1,
Reading & Writing Skills 1,8,mcq,Choose the correct spelling:,"[""environment"", ""enviroment"", ""enviornment"", ""enviorment""]",environment,,,,,1,
Reading & Writing Skills 1,9,fill_blank,"The comparative form of ""good"" is _______.",,better,,,,,1,
Reading & Writing Skills 1,10,mcq,"The object in ""She reads books"" is:","[""She"", ""reads"", ""books"", ""She reads""]",books,,,,,1,
Reading & Writing Skills 1,11,mcq,"What type of word is ""under""?","[""noun"", ""verb"", ""preposition"", ""adjective""]",preposition,,,,,1,
Reading & Writing Skills 1,12,mcq,Which sentence is a question?,"[""The dog runs fast."", ""Where is my book?"", ""I love pizza!"", ""Please sit down.""]",Where is my book?,,,,,1,
Reading & Writing Skills 1,13,written,List 3 adjectives to describe a sunset.,,"Examples: beautiful, orange, peaceful, stunning, colorful",,,,,2,
Reading & Writing Skills 1,14,mcq,Which is a proper noun?,"[""city"", ""river"", ""Malaysia"", ""school""]",Malaysia,,,,,1,
Reading & Writing Skills 1,15,mcq,Which word is spelled correctly?,"[""recieve"", ""receive"", ""receve"", ""receeve""]",receive,,,,,1,
Reading & Writing Skills 1,16,fill_blank,"The opposite of ""generous"" is _______.",,selfish,,,,,1,
Reading & Writing Skills 1,17,mcq,Identify the subject in: The tall boy kicked the ball.,"[""kicked"", ""ball"", ""tall"", ""The tall boy""]",The tall boy,,,,,1,
Reading & Writing Skills 1,18,mcq,"Choose the antonym of ""genuine"":","[""real"", ""authentic"", ""fake"", ""true""]",fake,,,,,1,
Reading & Writing Skills 1,19,written,"Read: ""The rainforest is often called the lungs of the Earth because it produces much of the world's oxygen."" Why is this comparison made?",,"Just as lungs help us breathe by processing air, rainforests produce oxygen that the world needs. Both are essential for life.",,,,,3,
Reading & Writing Skills 1,20,mcq,Identify the pronoun in: They visited their grandmother yesterday.,"[""visited"", ""grandmother"", ""They"", ""yesterday""]",They,,,,,1,
Reading & Writing Skills 1,21,mcq,Which word is spelled correctly?,"[""seperate"", ""separate"", ""separete"", ""seprate""]",separate,,,,,1,
Reading & Writing Skills 1,22,written,Explain why authors use metaphors in their writing. Give an example.,,"Authors use metaphors to create vivid imagery and help readers understand ideas by comparing them to familiar things. Example: ""Time is money"" compares time to money to show its value.",,,,,3,
Reading & Writing Skills 1,23,mcq,Choose the correct spelling:,"[""definately"", ""definitly"", ""definitely"", ""definatly""]",definitely,,,,,1,
Reading & Writing Skills 1,24,written,"Use the word ""reluctant"" in a sentence that shows you understand its meaning.",,Example: She was reluctant to speak in front of the class because she felt nervous.,,,,,2,
Reading & Writing Skills 1,25,mcq,Choose the correct spelling:,"[""accomodation"", ""accommodation"", ""acomodation"", ""acommodation""]",accommodation,,,,,1,
Reading & Writing Skills 1,26,mcq,Which word is a conjunction?,"[""quickly"", ""however"", ""beautiful"", ""happily""]",however,,,,,1,
Reading & Writing Skills 1,27,written,Rewrite the following sentence in passive voice: The cat chased the mouse.,,The mouse was chased by the cat.,,,,,2,
Reading & Writing Skills 1,28,fill_blank,"The past tense of ""run"" is _______.",,ran,,,,,1,
Reading & Writing Skills 1,29,mcq,Which word is an adverb?,"[""beautiful"", ""quickly"", ""happy"", ""table""]",quickly,,,,,1,
Reading & Writing Skills 1,30,mcq,Which sentence uses the past perfect tense correctly?,"[""I have eaten lunch."", ""I had eaten lunch before she arrived."", ""I eat lunch daily."", ""I will have eaten.""]",I had eaten lunch before she arrived.,,,,,1,
