question_set_title,question_number,question_type,question_text,options,correct_answer,matching_pairs,labels,explanation,hint,marks,drawing_template
Nature & Science 1,1,fill_blank,The movement of tectonic plates can cause _______.,,earthquakes,,,,,1,
Nature & Science 1,2,mcq,Which part of the plant absorbs water from the soil?,"[""Leaves"", ""Stem"", ""Roots"", ""Flowers""]",Roots,,,,,1,
Nature & Science 1,3,fill_blank,The speed of light is approximately _______ km/s.,,300000,,,,,1,
Nature & Science 1,4,mcq,What is the unit of force?,"[""Meter"", ""Newton"", ""Kilogram"", ""Joule""]",Newton,,,,,1,
Nature & Science 1,5,mcq,What is the main function of the heart?,"[""Digest food"", ""Pump blood around the body"", ""Filter waste"", ""Store oxygen""]",Pump blood around the body,,,,,1,
Nature & Science 1,6,written,Explain the difference between potential energy and kinetic energy. Give an example of each.,,"Potential energy is stored energy (e.g., a ball held up high). Kinetic energy is energy of motion (e.g., a rolling ball).",,,,,4,
Nature & Science 1,7,mcq,Which type of energy does a moving car have?,"[""Potential energy"", ""Kinetic energy"", ""Sound energy"", ""Nuclear energy""]",Kinetic energy,,,,,1,
Nature & Science 1,8,fill_blank,A material that does not allow electricity to pass through is called an _______.,,insulator,,,,,1,
Nature & Science 1,9,mcq,What causes day and night?,"[""Moon orbiting Earth"", ""Earth rotating on its axis"", ""Sun moving around Earth"", ""Clouds blocking sunlight""]",Earth rotating on its axis,,,,,1,
Nature & Science 1,10,written,Explain the difference between potential energy and kinetic energy. Give an example of each.,,"Potential energy is stored energy (e.g., a ball held up high). Kinetic energy is energy of motion (e.g., a rolling ball).",,,,,4,
Nature & Science 1,11,mcq,What happens when ice is heated?,"[""It stays the same"", ""It melts into water"", ""It becomes gas directly"", ""It gets harder""]",It melts into water,,,,,1,
Nature & Science 1,12,written,Explain the difference between a physical change and a chemical change. Give an example of each.,,"Physical change: substance changes form but remains the same material (e.g., ice melting to water). Chemical change: new substances are formed (e.g., burning wood produces ash and smoke).",,,,,4,
Nature & Science 1,13,mcq,What force pulls objects towards the Earth?,"[""Friction"", ""Gravity"", ""Magnetism"", ""Air resistance""]",Gravity,,,,,1,
Nature & Science 1,14,mcq,What is the unit of force?,"[""Meter"", ""Newton"", ""Kilogram"", ""Joule""]",Newton,,,,,1,
Nature & Science 1,15,mcq,Which organ is part of the digestive system?,"[""Heart"", ""Lungs"", ""Stomach"", ""Brain""]",Stomach,,,,,1,
Nature & Science 1,16,mcq,What is the largest organ in the human body?,"[""Heart"", ""Brain"", ""Skin"", ""Liver""]",Skin,,,,,1,
Nature & Science 1,17,written,Describe the path of blood through the heart and lungs.,,"Deoxygenated blood enters the right atrium, moves to right ventricle, goes to lungs to get oxygen, returns to left atrium, moves to left ventricle, and is pumped to the body.",,,,,4,
Nature & Science 1,18,fill_blank,The gas we breathe out is _______ dioxide.,,carbon,,,,,1,
Nature & Science 1,19,mcq,What force pulls objects towards the Earth?,"[""Friction"", ""Gravity"", ""Magnetism"", ""Air resistance""]",Gravity,,,,,1,
Nature & Science 1,20,matching,Match the organ to its function,,"Heart-Pumps blood, Lungs-Gas exchange, Stomach-Digests food, Brain-Controls body","[{""left"": ""Heart"", ""right"": ""Pumps blood""}, {""left"": ""Lungs"", ""right"": ""Gas exchange""}, {""left"": ""Stomach"", ""right"": ""Digests food""}, {""left"": ""Brain"", ""right"": ""Controls body""}]",,,,4,
Nature & Science 1,21,written,Explain why plants are important for life on Earth. Give two reasons.,,1. Plants produce oxygen through photosynthesis which animals need to breathe. 2. Plants provide food for animals and humans in the food chain.,,,,,4,
Nature & Science 1,22,mcq,What is the main function of the heart?,"[""Digest food"", ""Pump blood around the body"", ""Filter waste"", ""Store oxygen""]",Pump blood around the body,,,,,1,
Nature & Science 1,23,mcq,Which gas do we breathe in?,"[""Carbon dioxide"", ""Nitrogen"", ""Oxygen"", ""Hydrogen""]",Oxygen,,,,,1,
Nature & Science 1,24,fill_blank,The process by which plants make food using sunlight is called _______.,,photosynthesis,,,,,1,
Nature & Science 1,25,mcq,Which is an example of a conductor of electricity?,"[""Rubber"", ""Plastic"", ""Copper"", ""Wood""]",Copper,,,,,1,
Nature & Science 1,26,mcq,What type of rock is formed from cooled lava?,"[""Sedimentary"", ""Metamorphic"", ""Igneous"", ""Limestone""]",Igneous,,,,,1,
Nature & Science 1,27,fill_blank,The gas we breathe out is _______ dioxide.,,carbon,,,,,1,
Nature & Science 1,28,mcq,Which layer of Earth is the hottest?,"[""Crust"", ""Mantle"", ""Outer core"", ""Inner core""]",Inner core,,,,,1,
Nature & Science 1,29,fill_blank,A material that does not allow electricity to pass through is called an _______.,,insulator,,,,,1,
Nature & Science 1,30,fill_blank,Oxygen enters the body through the _______.,,lungs,,,,,1,
Nature & Science 1,31,written,Explain how the water cycle works. Include at least 3 stages.,,"1. Evaporation: Sun heats water from oceans/lakes, turning it into water vapor. 2. Condensation: Water vapor rises, cools, and forms clouds. 3. Precipitation: Water falls as rain or snow. 4. Collection: Water returns to oceans, lakes, or groundwater.",,,,,4,
Nature & Science 1,32,mcq,What are the three states of matter?,"[""Hot, cold, warm"", ""Solid, liquid, gas"", ""Hard, soft, fluid"", ""Heavy, light, medium""]","Solid, liquid, gas",,,,,1,
Nature & Science 1,33,written,Explain the difference between a physical change and a chemical change. Give an example of each.,,"Physical change: substance changes form but remains the same material (e.g., ice melting to water). Chemical change: new substances are formed (e.g., burning wood produces ash and smoke).",,,,,4,
Nature & Science 1,34,fill_blank,The process by which plants make food using sunlight is called _______.,,photosynthesis,,,,,1,
Nature & Science 1,35,written,Explain why plants are important for life on Earth. Give two reasons.,,1. Plants produce oxygen through photosynthesis which animals need to breathe. 2. Plants provide food for animals and humans in the food chain.,,,,,4,
Nature & Science 1,36,fill_blank,The chemical symbol for water is _______.,,H2O,,,,,1,
Nature & Science 1,37,mcq,What travels faster: sound or light?,"[""Sound"", ""Light"", ""They travel equally"", ""Neither moves""]",Light,,,,,1,
Nature & Science 1,38,written,Why does a parachute slow down a falling object?,,"A parachute increases air resistance/drag, which opposes the force of gravity, causing the object to fall more slowly.",,,,,3,
Nature & Science 1,39,mcq,What type of rock is formed from cooled lava?,"[""Sedimentary"", ""Metamorphic"", ""Igneous"", ""Limestone""]",Igneous,,,,,1,
Nature & Science 1,40,fill_blank,"When a liquid changes to a gas, it is called _______.",,evaporation,,,,,1,
Nature & Science 1,41,mcq,Which layer of Earth is the hottest?,"[""Crust"", ""Mantle"", ""Outer core"", ""Inner core""]",Inner core,,,,,1,
Nature & Science 1,42,fill_blank,The Earth takes _______ days to orbit the Sun.,,365,,,,,1,
Nature & Science 1,43,mcq,What do plants produce during photosynthesis?,"[""Carbon dioxide"", ""Oxygen and glucose"", ""Nitrogen"", ""Water only""]",Oxygen and glucose,,,,,1,
Nature & Science 1,44,mcq,Which type of energy does a moving car have?,"[""Potential energy"", ""Kinetic energy"", ""Sound energy"", ""Nuclear energy""]",Kinetic energy,,,,,1,
Nature & Science 1,45,mcq,Which gas do we breathe in?,"[""Carbon dioxide"", ""Nitrogen"", ""Oxygen"", ""Hydrogen""]",Oxygen,,,,,1,
Nature & Science 1,45,matching,Match the planets to their characteristics:,,"1-A,2-B,3-C,4-D","[{""left"": ""Mars"", ""right"": ""Red planet""}, {""left"": ""Jupiter"", ""right"": ""Largest planet""}, {""left"": ""Saturn"", ""right"": ""Has rings""}, {""left"": ""Earth"", ""right"": ""Has water""}]",,,,4,
Nature & Science 1,46,fill_blank,The organ that pumps blood around the body is the _______.,,heart,,,,,1,
Nature & Science 1,46,matching,Match the animals to their groups:,,"1-A,2-B,3-C,4-D","[{""left"": ""Eagle"", ""right"": ""Bird""}, {""left"": ""Shark"", ""right"": ""Fish""}, {""left"": ""Snake"", ""right"": ""Reptile""}, {""left"": ""Frog"", ""right"": ""Amphibian""}]",,,,4,
Nature & Science 1,47,mcq,At what temperature does water boil at sea level?,"[""0°C"", ""50°C"", ""100°C"", ""212°C""]",100°C,,,,,1,
Nature & Science 1,48,written,Explain how the water cycle works. Include at least 3 stages.,,"1. Evaporation: Sun heats water from oceans/lakes, turning it into water vapor. 2. Condensation: Water vapor rises, cools, and forms clouds. 3. Precipitation: Water falls as rain or snow. 4. Collection: Water returns to oceans, lakes, or groundwater.",,,,,4,
Science Explorer 2,1,written,Explain why plants are important for life on Earth. Give two reasons.,,1. Plants produce oxygen through photosynthesis which animals need to breathe. 2. Plants provide food for animals and humans in the food chain.,,,,,4,
Science Explorer 2,2,mcq,What do plants produce during photosynthesis?,"[""Carbon dioxide"", ""Oxygen and glucose"", ""Nitrogen"", ""Water only""]",Oxygen and glucose,,,,,1,
Science Explorer 2,3,matching,Match the organ to its function,,"Heart-Pumps blood, Lungs-Gas exchange, Stomach-Digests food, Brain-Controls body","[{""left"": ""Heart"", ""right"": ""Pumps blood""}, {""left"": ""Lungs"", ""right"": ""Gas exchange""}, {""left"": ""Stomach"", ""right"": ""Digests food""}, {""left"": ""Brain"", ""right"": ""Controls body""}]",,,,4,
Science Explorer 2,4,mcq,What is the main function of the heart?,"[""Digest food"", ""Pump blood around the body"", ""Filter waste"", ""Store oxygen""]",Pump blood around the body,,,,,1,
Science Explorer 2,5,mcq,Which organ is part of the digestive system?,"[""Heart"", ""Lungs"", ""Stomach"", ""Brain""]",Stomach,,,,,1,
