question_set_title,question_number,question_type,question_text,options,correct_answer,matching_pairs,labels,explanation,hint,marks,drawing_template
Problem Solving Challenge 1,1,mcq,"The range of 15, 23, 8, 31, 12 is:","[""15"", ""23"", ""31"", ""23""]",23,,,,,1,
Problem Solving Challenge 1,2,fill_blank,Convert 5000ml to liters: _______ L,,5,,,,,1,
Problem Solving Challenge 1,3,written,"A bookshop sells books at RM25 each. If they offer a 20% discount, how much would 3 books cost? Show your working.",,Discounted price = RM25 × 0.8 = RM20. Total = RM20 × 3 = RM60,,,,,3,
Problem Solving Challenge 1,4,fill_blank,50% of _______ is 25.,,50,,,,,1,
Problem Solving Challenge 1,5,fill_blank,12.6 ÷ 3 = _______,,4.2,,,,,1,
Problem Solving Challenge 1,6,mcq,What is the area of a rectangle with length 8cm and width 5cm?,"[""13cm²"", ""40cm²"", ""26cm²"", ""80cm²""]",40cm²,,,,,1,
Problem Solving Challenge 1,7,written,A circle has a radius of 7cm. Calculate its circumference using π = 22/7.,,Circumference = 2πr = 2 × 22/7 × 7 = 44cm,,,,,2,
Problem Solving Challenge 1,8,mcq,How many grams are in 2.5 kg?,"[""250g"", ""2500g"", ""25g"", ""25000g""]",2500g,,,,,1,
Problem Solving Challenge 1,9,fill_blank,A train travels at 80km/h. How far does it travel in 3 hours?,,240,,,,,1,
Problem Solving Challenge 1,10,fill_blank,A triangle has angles of 60° and 80°. The third angle is _______ degrees.,,40,,,,,1,
Problem Solving Challenge 1,11,mcq,What is the value of 2n when n = 6?,"[""8"", ""12"", ""26"", ""3""]",12,,,,,1,
Problem Solving Challenge 1,12,written,A train leaves at 09:45 and arrives at 11:20. How long is the journey?,,1 hour 35 minutes,,,,,2,
Problem Solving Challenge 1,13,fill_blank,Express 2/5 as a decimal: _______,,0.4,,,,,1,
Problem Solving Challenge 1,14,mcq,What is 25% of 80?,"[""15"", ""20"", ""25"", ""30""]",20,,,,,1,
Problem Solving Challenge 1,15,mcq,Calculate: 6 × (4 + 5),"[""29"", ""54"", ""45"", ""33""]",54,,,,,1,
Problem Solving Challenge 1,16,mcq,Convert 3/4 to a percentage:,"[""25%"", ""50%"", ""75%"", ""100%""]",75%,,,,,1,
Problem Solving Challenge 1,17,fill_blank,What is 1/3 + 1/6 = _______ (as a fraction),,1/2,,,,,1,
