question_set_title,question_number,question_type,question_text,options,correct_answer,matching_pairs,labels,explanation,hint,marks,drawing_template
ICT Knowledge Test 1,1,mcq,Which software helps edit photos?,"[""Notepad"", ""Calculator"", ""Photoshop"", ""VLC""]",Photoshop,,,,,1,
ICT Knowledge Test 1,2,mcq,What is a variable in programming?,"[""A fixed number"", ""A container that stores data"", ""A type of loop"", ""A hardware part""]",A container that stores data,,,,,1,
ICT Knowledge Test 1,3,fill_blank,A _______ connects devices in a network and directs data traffic.,,router,,,,,1,
ICT Knowledge Test 1,4,written,Explain why planning with a flowchart is important before writing code.,,"Flowcharts help visualize the logic, identify errors early, make code easier to write, and help others understand your plan.",,,,,3,
ICT Knowledge Test 1,5,mcq,A spreadsheet software is used to:,"[""Write letters"", ""Organize data in rows and columns"", ""Draw pictures"", ""Play videos""]",Organize data in rows and columns,,,,,1,
ICT Knowledge Test 1,6,fill_blank,"To find the highest value, you use the _______ function.",,MAX,,,,,1,
ICT Knowledge Test 1,7,drawing,Draw a flowchart for deciding if a number is positive or negative.,,"Flowchart with Start, Input number, Decision (>0?), Output positive/negative, End",,,,,5,"{""type"": ""flowchart"", ""instructions"": ""Use oval for start/end, diamond for decision, rectangle for process""}"
ICT Knowledge Test 1,8,fill_blank,A _______ is a program that lets you view websites.,,browser,,,,,1,
ICT Knowledge Test 1,9,mcq,Which is an output device?,"[""Mouse"", ""Keyboard"", ""Scanner"", ""Printer""]",Printer,,,,,1,
ICT Knowledge Test 1,10,written,"Write the formula to add the values in cells B2, B3, B4, and B5.",,=SUM(B2:B5) or =B2+B3+B4+B5,,,,,2,
ICT Knowledge Test 1,11,written,Explain the difference between LAN and WAN.,,"LAN (Local Area Network) covers a small area like a school or home. WAN (Wide Area Network) covers large areas, even countries. The internet is the largest WAN.",,,,,3,
ICT Knowledge Test 1,12,mcq,Which is a search engine?,"[""Facebook"", ""Google"", ""WhatsApp"", ""Word""]",Google,,,,,1,
ICT Knowledge Test 1,13,mcq,What is the main function of RAM?,"[""Store files permanently"", ""Temporary memory for running programs"", ""Connect to the internet"", ""Display graphics""]",Temporary memory for running programs,,,,,1,
ICT Knowledge Test 1,14,mcq,"In Scratch, which block makes a sprite move?","[""say"", ""move"", ""wait"", ""ask""]",move,,,,,1,
ICT Knowledge Test 1,15,fill_blank,Software that damages computers is called _______.,,malware,,,,,1,
ICT Knowledge Test 1,16,mcq,Which device converts printed documents into digital format?,"[""Printer"", ""Scanner"", ""Webcam"", ""Microphone""]",Scanner,,,,,1,
ICT Knowledge Test 1,17,mcq,What does the CPU do?,"[""Stores data permanently"", ""Processes instructions"", ""Displays images"", ""Prints documents""]",Processes instructions,,,,,1,
ICT Knowledge Test 1,18,written,Write an algorithm (step-by-step instructions) for brushing your teeth.,,1. Pick up toothbrush. 2. Put toothpaste on brush. 3. Wet the brush. 4. Brush teeth for 2 minutes. 5. Rinse mouth. 6. Put brush away.,,,,,4,
ICT Knowledge Test 1,19,mcq,What does WWW stand for?,"[""World Wide Web"", ""Wide World Web"", ""World Web Wide"", ""Web World Wide""]",World Wide Web,,,,,1,
